file_index,file_name,exp_file,board_position,channel,condition,condition_label,condition_short,sex,substrate,substrate_side,substrate_label
0,CapacitanceData_C01_01_96_2024-02-15T11_28_04.8078208+01_00,exp_0.txt,1,0,1,fully fed,fed,F,1,left,100 mM sucrose
0,CapacitanceData_C01_01_96_2024-02-15T11_28_04.8078208+01_00,exp_0.txt,1,1,1,fully fed,fed,F,2,right,100 mM sucrose
0,CapacitanceData_C01_01_96_2024-02-15T11_28_04.8078208+01_00,exp_0.txt,1,2,1,fully fed,fed,F,1,left,100 mM sucrose
0,CapacitanceData_C01_01_96_2024-02-15T11_28_04.8078208+01_00,exp_0.txt,1,3,1,fully fed,fed,F,2,right,100 mM sucrose
0,CapacitanceData_C01_01_96_2024-02-15T11_28_04.8078208+01_00,exp_0.txt,1,4,1,fully fed,fed,F,1,left,100 mM sucrose
0,CapacitanceData_C01_01_96_2024-02-15T11_28_04.8078208+01_00,exp_0.txt,1,5,1,fully fed,fed,F,2,right,100 mM sucrose
0,CapacitanceData_C01_01_96_2024-02-15T11_28_04.8078208+01_00,exp_0.txt,1,6,1,fully fed,fed,F,1,left,100 mM sucrose
0,CapacitanceData_C01_01_96_2024-02-15T11_28_04.8078208+01_00,exp_0.txt,1,7,1,fully fed,fed,F,2,right,100 mM sucrose
0,CapacitanceData_C01_01_96_2024-02-15T11_28_04.8078208+01_00,exp_0.txt,2,8,2,24h wet starved,24h,F,1,left,100 mM sucrose
0,CapacitanceData_C01_01_96_2024-02-15T11_28_04.8078208+01_00,exp_0.txt,2,9,2,24h wet starved,24h,F,2,right,100 mM sucrose
0,CapacitanceData_C01_01_96_2024-02-15T11_28_04.8078208+01_00,exp_0.txt,2,10,2,24h wet starved,24h,F,1,left,100 mM sucrose
0,CapacitanceData_C01_01_96_2024-02-15T11_28_04.8078208+01_00,exp_0.txt,2,11,2,24h wet starved,24h,F,2,right,100 mM sucrose
0,CapacitanceData_C01_01_96_2024-02-15T11_28_04.8078208+01_00,exp_0.txt,2,12,2,24h wet starved,24h,F,1,left,100 mM sucrose
0,CapacitanceData_C01_01_96_2024-02-15T11_28_04.8078208+01_00,exp_0.txt,2,13,2,24h wet starved,24h,F,2,right,100 mM sucrose
0,CapacitanceData_C01_01_96_2024-02-15T11_28_04.8078208+01_00,exp_0.txt,2,14,2,24h wet starved,24h,F,1,left,100 mM sucrose
0,CapacitanceData_C01_01_96_2024-02-15T11_28_04.8078208+01_00,exp_0.txt,2,15,2,24h wet starved,24h,F,2,right,100 mM sucrose
0,CapacitanceData_C01_01_96_2024-02-15T11_28_04.8078208+01_00,exp_0.txt,3,16,3,44h wet starved,44h,F,1,left,100 mM sucrose
0,CapacitanceData_C01_01_96_2024-02-15T11_28_04.8078208+01_00,exp_0.txt,3,17,3,44h wet starved,44h,F,2,right,100 mM sucrose
0,CapacitanceData_C01_01_96_2024-02-15T11_28_04.8078208+01_00,exp_0.txt,3,18,3,44h wet starved,44h,F,1,left,100 mM sucrose
0,CapacitanceData_C01_01_96_2024-02-15T11_28_04.8078208+01_00,exp_0.txt,3,19,3,44h wet starved,44h,F,2,right,100 mM sucrose
0,CapacitanceData_C01_01_96_2024-02-15T11_28_04.8078208+01_00,exp_0.txt,3,20,3,44h wet starved,44h,F,1,left,100 mM sucrose
0,CapacitanceData_C01_01_96_2024-02-15T11_28_04.8078208+01_00,exp_0.txt,3,21,3,44h wet starved,44h,F,2,right,100 mM sucrose
0,CapacitanceData_C01_01_96_2024-02-15T11_28_04.8078208+01_00,exp_0.txt,3,22,3,44h wet starved,44h,F,1,left,100 mM sucrose
0,CapacitanceData_C01_01_96_2024-02-15T11_28_04.8078208+01_00,exp_0.txt,3,23,3,44h wet starved,44h,F,2,right,100 mM sucrose
0,CapacitanceData_C01_01_96_2024-02-15T11_28_04.8078208+01_00,exp_0.txt,4,24,1,fully fed,fed,M,1,left,100 mM sucrose
0,CapacitanceData_C01_01_96_2024-02-15T11_28_04.8078208+01_00,exp_0.txt,4,25,1,fully fed,fed,M,2,right,100 mM sucrose
